Name,CID,PM,SMILES,L.Trp,L.Tyr,L.Pro,Anthranilate,L.Lys,L.Arg,Indole.3,GGPP,L.Ala,L.Asp,Secologanin,L.Phe,IPP,L.His,Cholesterol
"""Ibogamine""",C00001742,3,C1(=C(C(=C2C(=C1[H])C3=C(N2[H])C4(C5(N(C(C3([H])[H])([H])[H])C(C(C4([H])[H])(C(C5(C(C([H])([H])[H])([H])[H])[H])([H])[H])[H])([H])[H])[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Epicathenamine""",C00051788,3,C1=CC=C2C(=C1)C3=C(N2)C4(N(CC3)C=C5C(C4)(C(=COC5C)C(=O)OC)[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Condylocarpine""",C00025822,3,C123C(N(C4=C1C(=C(C(=C4[H])[H])[H])[H])[H])=C(C5(C(C2(N(C(C3([H])[H])([H])[H])C(C5([H])[H])([H])[H])[H])=C(C([H])([H])[H])[H])[H])C(=O)OC([H])([H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Akuammicine""",C00001680,3,C1(=C(C(=C(C2=C1C34C(N2[H])=C(C5(C(C3(N(C(C4([H])[H])([H])[H])C(C5=C(C([H])([H])[H])[H])([H])[H])[H])([H])[H])[H])C(=O)OC([H])([H])[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Tabertinggine""",C00051793,3,C12=C(C=CC=C1)C3=C(N2)C45N(CC3)CC(CC(=C4)C(C)=O)(C5)[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Ibogaine""",C00001741,3,C1(=C(C(=C2C(=C1[H])C3=C(N2[H])C4(C5(N(C(C3([H])[H])([H])[H])C(C(C4([H])[H])(C(C5(C(C([H])([H])[H])([H])[H])[H])([H])[H])[H])([H])[H])[H])[H])[H])[H])OC([H])([H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Ibogaine hydroxyindolenine""",C00025891,3,C1(=C(C(=C2C(=C1[H])C3(C(=N2)C4(C5(N(C(C3([H])[H])([H])[H])C(C(C4([H])[H])(C(C5(C(C([H])([H])[H])([H])[H])[H])([H])[H])[H])([H])[H])[H])[H])O[H])[H])[H])OC([H])([H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Iboluteine""",C00025892,3,C1(C2(C(C3(C(C1(C(C([H])([H])[H])([H])[H])[H])(N(C(C(C34C(C5=C(N4[H])C(=C(C(=C5[H])OC([H])([H])[H])[H])[H])=O)([H])[H])([H])[H])C2([H])[H])[H])[H])([H])[H])[H])([H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""3-Oxoiboganine hydroxyindoloenine""",C00051975,3,C1=C2C(=CC(=C1)OC)C3(C(=N2)C4C5N(CC3)C(C(CC5CC)C4)=O)O,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Ervaoffines D""",C00051790,3,C1=C(C=CC2=C1C(=O)CCN3C4C(CC(CC4CC)(C3=O)[H])C(N2)=O)OC,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""16-Hydroxytabersonine""",C00024481,3,C1(=C(C(=C2C(=C1[H])C34C(N2[H])=C(C(C5(C3(N(C(C(=C5[H])[H])([H])[H])C(C4([H])[H])([H])[H])[H])C(C([H])([H])[H])([H])[H])([H])[H])C(=O)OC([H])([H])[H])[H])OC([H])([H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Tabersonine""",C00001773,3,N1(C2=C(C(C3(C4(C2(C5=C1C(=C(C(=C5[H])[H])[H])[H])C(C(N4C(C(=C3[H])[H])([H])[H])([H])[H])([H])[H])[H])C(C([H])([H])[H])([H])[H])([H])[H])C(=O)OC([H])([H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""16-Methoxytabersonine""",C00051778,3,C=12C3(C4(C(CC1C(=O)OC)(C=CCN4CC3)CC)[H])C5=C(N2)C=C(C=C5)OC,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""16-Methoxy-2,3-dihydro-3hydro-3-hydroxytabersoine""",C00051777,3,C12(C3(CC(C4(C1(C5=C(N4)C=C(C=C5)OC)CCN2CC=C3)[H])(C(=O)OC)O)CC)[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Minovincinine""",C00051779,3,C1=CC=C2C(=C1)C34C(N2)=C(CC5(C3N(CC=C5)CC4)C(C)OC(C)=O)C(OC)=O,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Desacetoxyvindoline""",C00051787,3,C1=CC2=C(C=C1OC)N(C3(C42C5(C(CC3(O)C(=O)OC)(C=CCN5CC4)CC)[H])[H])C,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Deacetylvindoline""",C00024529,3,C1(=C(C(=C2C(=C1[H])C34C(N2C([H])([H])[H])(C(C(C5(C3(N(C(C(=C5[H])[H])([H])[H])C(C4([H])[H])([H])[H])[H])C(C([H])([H])[H])([H])[H])(O[H])[H])(C(=O)OC([H])([H])[H])O[H])[H])[H])OC([H])([H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Vindoline""",C00001784,3,C12=C(C34C(N1C([H])([H])[H])(C(C(C5(C3(N(C(C(=C5[H])[H])([H])[H])C(C4([H])[H])([H])[H])[H])C(C([H])([H])[H])([H])[H])([H])OC(=O)C([H])([H])[H])(O[H])C(OC([H])([H])[H])=O)[H])C(=C(C(=C2[H])OC([H])([H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""3',4'-Anhydrovinblastine""",C00051780,3,C12(C3(C4(C(C(C1(C(=O)OC)O)OC(=O)C)(C=CCN4CC3)CC)[H])C5=C(N2C)C=C(C(=C5)C6(C7=C(CCN8CC(C=C(C8)CC)([H])C6)C=9C(N7)=CC=CC9)C(OC)=O)OC)[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Vinblastine""",C00001781,3,C1(=C(C2=C(C(=C1[H])[H])C3=C(N2[H])C(C(C4(C(N(C(C3([H])[H])([H])[H])C(C(C4([H])[H])(O[H])C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])(C=5C(=C(C6=C(C5[H])C78C(N6C([H])([H])[H])(C(C(C9(C7(N(C(C(=C9[H])[H])([H])[H])C(C8([H])[H])([H])[H])[H])C(C([H])([H])[H])([H])[H])(OC(=O)C([H])([H])[H])[H])(O[H])C(=O)OC([H])([H])[H])[H])[H])OC([H])([H])[H])C(=O)OC([H])([H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Vincristine""",C00001783,3,C1(=C(C2=C(C(=C1[H])[H])C3=C(N2[H])C(C(C4(C(N(C(C3([H])[H])([H])[H])C(C(C4([H])[H])(O[H])C(C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])(C=5C(=C(C6=C(C5[H])C78C(N6C(=O)[H])(C(C(C9(C7(N(C(C(=C9[H])[H])([H])[H])C(C8([H])[H])([H])[H])[H])C(C([H])([H])[H])([H])[H])(OC(=O)C([H])([H])[H])[H])(O[H])C(=O)OC([H])([H])[H])[H])[H])OC([H])([H])[H])C(=O)OC([H])([H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""(+)-Perakine;Raucaffrine""",C00024279,3,C1(=C(C(=C2C(=C1[H])C34C(=N2)C5(N6C(C3([H])[H])(C(C(C5([H])[H])(C(C6(C([H])([H])[H])[H])(C([H])=O)[H])[H])(C4(OC(C([H])([H])[H])=O)[H])[H])[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""(+)-Raucaffrinoline;Raucaffrinoline""",C00024282,3,C1(=C(C(=C2C(=C1[H])C34C(=N2)C5(N6C(C3([H])[H])(C(C(C5([H])[H])(C(C6(C([H])([H])[H])[H])(C(O[H])([H])[H])[H])[H])(C4(OC(C([H])([H])[H])=O)[H])[H])[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Tetrahydroalstonine""",C00025214,3,C1(=C(C(=C2C(=C1[H])C3=C(N2[H])C4(N(C(C3([H])[H])([H])[H])C(C5(C(C4([H])[H])(C(=C(OC5(C([H])([H])[H])[H])[H])C(=O)OC([H])([H])[H])[H])[H])([H])[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Alstonine""",C00001683,3,C1(=C(C(=C(C2=C1C3=C([N-]2)C4=[N+](C(=C3[H])[H])C(C5(C(C4([H])[H])(C(=C(OC5(C([H])([H])[H])[H])[H])C(=O)OC([H])([H])[H])[H])[H])([H])[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Serpentine""",C00001769,3,C=12C=3C(N(C1C4=[N+](C(=C2[H])[H])C(C5(C(C4([H])[H])(C(=C(OC5([H])C([H])([H])[H])[H])C(=O)OC([H])([H])[H])[H])[H])([H])[H])[H])=C(C(=C(C3[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""(E)-Geissoschizine""",C00051968,3,C1=CC=C2C(=C1)C3=C(N2)C4(N(CC3)CC(C(C4)C(=CO)C(=O)OC)=CC)[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""(16R)-Z-Isositsirikine""",C00051967,3,C1=CC=C2C(=C1)C3=C(N2)C4(N(CC3)CC(C(C4)C(C(OC)=O)([H])CO)=CC)[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""16R,19E-Isositsirikine""",C00025912,3,C1(=C(C(=C2C(=C1[H])C3=C(N2[H])C4(N(C(C3([H])[H])([H])[H])C(C(C(C4([H])[H])(C(C(OC([H])([H])[H])=O)(C(O[H])([H])[H])[H])[H])=C(C([H])([H])[H])[H])([H])[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""3(S)-Deoxypumiloside""",C00036264,3,O1C(C(C2(C(=C1[H])C(N3C(C2([H])[H])(C4=C(C3([H])[H])C(=C5C(=N4)C(=C(C(=C5[H])[H])[H])[H])[H])[H])=O)[H])(C(=C([H])[H])[H])[H])(OC6(OC(C(C(C6(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Ajmaline""",C00001679,3,C1(=C(C(=C(C2=C1C34C(N2C([H])([H])[H])(C5(N6C(C3([H])[H])(C(C(C5([H])[H])(C(C6([H])O[H])(C(C([H])([H])[H])([H])[H])[H])[H])(C4([H])O[H])[H])[H])[H])[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"""Brevianamide F""",C00011280,4,C1(=C2C(=C(C(=C1[H])[H])[H])C(=C(N2[H])[H])C(C3(N(C(C4(N(C3=O)C(C(C4([H])[H])([H])[H])([H])[H])[H])=O)[H])[H])([H])[H])[H],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Tryprostatin B""",C00016146,4,C1(C(C(N2C1(C(N(C(C2=O)(C(C3=C(N(C4=C3C(=C(C(=C4[H])[H])[H])[H])[H])C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])([H])[H])[H])[H])=O)[H])([H])[H])([H])[H])([H])[H],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Deoxybrevianamide E""",C00011277,4,C=1(C2=C(C(=C(C1[H])[H])[H])C(=C(N2[H])C(C(=C([H])[H])C([H])([H])[H])(C([H])([H])[H])[H])C(C3(N(C(C4(N(C3=O)C(C(C4([H])[H])([H])[H])([H])[H])[H])=O)[H])[H])([H])[H])[H],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""6-Hydroxydeoxybrevianamide E""",C00051987,4,C1=C(C=C2C(=C1)C(=C(N2)C(C)(C)C=C)CC3(NC(C4(N(C3=O)CCC4)[H])=O)[H])O,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Demetoxyfumitremorgin C""",C00016232,4,C12=C(C(C3(N(C1(C(=C(C([H])([H])[H])C([H])([H])[H])[H])[H])C(C4(N(C3=O)C(C(C4([H])[H])([H])[H])([H])[H])[H])=O)[H])([H])[H])C=5C(N2[H])=C(C(=C(C5[H])[H])[H])[H],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Notoamide S""",C00051826,4,N12C(C(NC(C1=O)CC=3C4=C(NC3C(C)(C)C=C)C(=C(C=C4)O)CC=C(C)C)=O)(CCC2)[H],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Notoamide E""",C00052019,4,O1C(C=CC2=C1C=CC3=C2NC(=C3CC4(NC(C5(N(C4=O)CCC5)[H])=O)[H])C(C)(C)C=C)(C)C,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Spirotryprostatin B""",C00016255,4,C1(C(C2(N(C1([H])[H])C(C=3N(C2=O)C(C4(C3[H])C(N(C5=C4C(=C(C(=C5[H])[H])[H])[H])[H])=O)(C(=C(C([H])([H])[H])C([H])([H])[H])[H])[H])=O)[H])([H])[H])([H])[H],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Verruculogen""",C00011299,4,C1(=C2C(=C(C(=C1OC([H])([H])[H])[H])[H])C3=C4N2C(OOC(C(C4(N5C(C3(O[H])[H])(C(N6C(C5=O)(C(C(C6([H])[H])([H])[H])([H])[H])[H])=O)O[H])[H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C(=C(C([H])([H])[H])C([H])([H])[H])[H])[H])[H],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Desmethyltryprostatin A""",C00051998,4,N12C(C(NC(C1=O)CC=3C4=C(NC3CC=C(C)C)C=C(C=C4)O)=O)CCC2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""(-)-Tryprostatin A;Tryprostatin A;(3S-trans)-Hexahydro-3-[[6-methoxy-2-(3-methyl-2-butenyl)-1H-indol-3-yl]methyl]-pyrrolo[1,2-a]pyrazine-1,4-dione""",C00016145,4,C1(=C(C(=C2C(=C1[H])N(C(=C2C(C3(C(N4C(C(N3[H])=O)(C(C(C4([H])[H])([H])[H])([H])[H])[H])=O)[H])([H])[H])C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])[H])[H])[H])OC([H])([H])[H],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Fumitremorgin C""",C00011298,4,C1(=C2C(=C(C(=C1OC([H])([H])[H])[H])[H])C3=C(N2[H])C(N4C(C3([H])[H])(C(N5C(C4=O)(C(C(C5([H])[H])([H])[H])([H])[H])[H])=O)[H])([H])C(=C(C([H])([H])[H])C([H])([H])[H])[H])[H],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""12,13-Dihydroxyfumitremorgin C;12alpha,13alpha-Dihydroxyfumitremorgin C""",C00038128,4,C12=C(C(C3(N(C1(C(=C(C([H])([H])[H])C([H])([H])[H])[H])[H])C(C4(N(C3=O)C(C(C4([H])[H])([H])[H])([H])[H])[H])=O)O[H])(O[H])[H])C5=C(N2[H])C(=C(C(=C5[H])[H])OC([H])([H])[H])[H],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Fumitremorgin B""",C00011297,4,C1(=C2C(=C(C(=C1OC([H])([H])[H])[H])[H])C3=C(N2C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])C(N4C(C3(O[H])[H])(C(N5C(C4=O)(C(C(C5([H])[H])([H])[H])([H])[H])[H])=O)O[H])([H])C(=C(C([H])([H])[H])C([H])([H])[H])[H])[H],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Spirotryprostatin G""",C00051828,4,C12(N(CCC1)C(C=3N(C2=O)C(C4(C3)C(NC5=C4C=CC(=C5)OC)=O)C=C(C)C)=O)[H],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Spirotryprostatin G""",C00052025,4,N12C(C34NC(C1(CCC2)CC3(C(C)(C)C5=C(C4)C6=C(N5)C7=C(C=C6)OC(C=C7)(C)C)[H])=O)=O,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Notoamide J;(-)-Notoamide J""",C00039879,4,N1(C(C(N2C(C1=O)(C(C(C2([H])[H])([H])[H])([H])[H])[H])=O)(C(C3(C(N(C4=C3C(=C(C(=C4[H])O[H])[H])[H])[H])=O)C(C(=C([H])[H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])[H])[H],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Notoamide D;(-)-Notoamide D""",C00039874,4,C12=C(C(=C(C3=C1C(=C(C(O3)(C([H])([H])[H])C([H])([H])[H])[H])[H])[H])[H])C4(C(N2[H])(N5C(C4([H])[H])(C(N6C(C5=O)(C(C(C6([H])[H])([H])[H])([H])[H])[H])=O)[H])C(C([H])([H])[H])(C(=C([H])[H])[H])C([H])([H])[H])O[H],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Notoamide C""",C00039873,4,C12=C(C(=C(C3=C1C(=C(C(O3)(C([H])([H])[H])C([H])([H])[H])[H])[H])[H])[H])C(C(N2[H])=O)(C(C4(N(C(C5(N(C4=O)C(C(C5([H])[H])([H])[H])([H])[H])[H])=O)[H])[H])([H])[H])C(C(=C([H])[H])[H])(C([H])([H])[H])C([H])([H])[H],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""(+)-Notoamide T""",C00051964,4,N12C(C34NC(C1(CCC2)CC3(C(C)(C)C5=C(C4)C6=C(N5)C(=C(C=C6)O)CC=C(C)C)[H])=O)=O,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""(-)-Notoamide T""",C00051960,4,N12C(C34NC(C1(CCC2)CC3(C(C)(C)C5=C(C4)C6=C(N5)C(=C(C=C6)O)CC=C(C)C)[H])=O)=O,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""(+)-Stephacidin A""",C00026831,4,C1(C(=C(C2=C(O1)C(=C(C3=C2N(C4=C3C(C56C(C4(C([H])([H])[H])C([H])([H])[H])(C(C7(N(C5=O)C(C(C7([H])[H])([H])[H])([H])[H])C(N6[H])=O)([H])[H])[H])([H])[H])[H])[H])[H])[H])[H])(C([H])([H])[H])C([H])([H])[H],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""(-)-Stephacidin A""",C00052025,4,N12C(C34NC(C1(CCC2)CC3(C(C)(C)C5=C(C4)C6=C(N5)C7=C(C=C6)OC(C=C7)(C)C)[H])=O)=O,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Notoamide B;(-)-Notoamide B""",C00039872,4,C12=C(C(=C(C3=C1N(C(C34C(C56C(C4(C([H])([H])[H])C([H])([H])[H])(C(C7(N(C5=O)C(C(C7([H])[H])([H])[H])([H])[H])C(N6[H])=O)([H])[H])[H])([H])[H])=O)[H])[H])[H])OC(C(=C2[H])[H])(C([H])([H])[H])C([H])([H])[H],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""(+)-Notoamide B""",C00051963,4,N12C(C34NC(C1(CCC2)CC3(C(C5(C4)C(NC6=C5C=CC7=C6C=CC(O7)(C)C)=O)(C)C)[H])=O)=O,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Notoamide A;(-)-Notoamide A""",C00039871,4,C12=C(C(=C(C3=C1N(C(C34C(C56C(C4(C([H])([H])[H])C([H])([H])[H])(C(C7(N(C5=O)C(C(C7([H])[H])([H])[H])([H])[H])C(N6[H])=O)([H])[H])[H])([H])[H])=O)O[H])[H])[H])OC(C(=C2[H])[H])(C([H])([H])[H])C([H])([H])[H],1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""(+)-Notoamide A""",C00051962,4,N12C(C34NC(C1(CCC2)CC3(C(C5(C4)C(N(C6=C5C=CC7=C6C=CC(O7)(C)C)O)=O)(C)C)[H])=O)=O,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Tryptamine;beta-(3-Indolyl)ethylamine""",C00001434,5,C1(=C(C(=C2C(=C1[H])C(=C(N2[H])[H])C(C(N([H])[H])([H])[H])([H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Psilocin""",C00001427,5,C1(=C(C(=C2C(=C1O[H])C(=C(N2[H])[H])C(C(N(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Psilocybin""",C00051822,5,C12=C(NC=C1CCN(C)C)C=CC=C2OP(O)(O)=O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""5-Hydroxy-L-Tryptophan""",C00001371,5,C(C(O[H])=O)([H])(N([H])[H])C(C=1C=2C(N(C1[H])[H])=C(C(=C(C2[H])O[H])[H])[H])([H])[H],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Serotonin""",C00001429,5,C1(=C(C(=C2C(=C1[H])C(=C(N2[H])[H])C(C(N([H])[H])([H])[H])([H])[H])[H])[H])O[H],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""3-Aminomethylindole""",C00051974,5,C1=C2C(=CC=C1)C(=CN2)CN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Methyltryptamine""",C00026521,5,C1(=C(N(C2=C1C(=C(C(=C2[H])[H])[H])[H])[H])[H])C(C(N(C([H])([H])[H])[H])([H])[H])([H])[H],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Eserine""",C00001757,5,C12(C3=C(N(C1(N(C(C2([H])[H])([H])[H])C([H])([H])[H])[H])C([H])([H])[H])C(=C(C(=C3[H])OC(=O)N(C([H])([H])[H])[H])[H])[H])C([H])([H])[H],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Chimonanthine""",C00026555,5,C1(=C(C(=C2C(=C1[H])C3(C(N2[H])(N(C(C3([H])[H])([H])[H])C([H])([H])[H])[H])C45C(N(C6=C(C(=C(C(=C64)[H])[H])[H])[H])[H])(N(C(C5([H])[H])([H])[H])C([H])([H])[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Indole pyruvate""",C00007571,5,C12=C(N(C(=C1C(C(C(O[H])=O)=O)([H])[H])[H])[H])C(=C(C(=C2[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Didemethylasterriquinone D""",C00051812,5,C1=C2C(=CC=C1)C(=CN2)C3=C(C(C(=C(C3=O)O)C=4C=5C(NC4)=CC=CC5)=O)O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Terrequinone A""",C00026700,5,C1(=C(C(=C2C(=C1[H])C(=C(N2[H])[H])C3=C(C(C(=C(C3=O)O[H])C=4C5=C(N(C4C(C([H])([H])[H])(C([H])([H])[H])C(=C([H])[H])[H])[H])C(=C(C(=C5[H])[H])[H])[H])=O)C(C(=C(C([H])([H])[H])C([H])([H])[H])[H])([H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Dimethylallyl tryptophan;DMATrp;DMAT;4-Dimethylallyltryptophan;4-DMAT""",C00051773,5,C1(=CC=CC2=C1C(=CN2)CC(N)C(=O)O)CC=C(C)C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""(-)-Aurantioclavine""",C00051795,5,C12=C3C=CC=C1NC=C2CCNC3C=C(C)C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Communesin F""",C00051806,5,C123C4(N(C=5C1=C(C(N(C6(C2(C=7C(N4[H])=CC=CC7)CCN6C(=O)C)[H])CC3)C=C(C)C)C=CC5)C)[H],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Communesin K""",C00051809,5,C12=C3C=CC=C1N(C4(C25C6(C7=C(N4)C=CC=C7)C(N(C3(C=C(C)C)[H])CC5)NCC6)[H])C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Communesin I""",C00051807,5,C12=C3C=CC=C1N(C4(C25C6(C7=C(N4)C=CC=C7)C(N(C3(C8C(O8)(C)C)[H])CC5)NCC6)[H])C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Communesin J""",C00051808,5,C12=C3C=CC=C1N(C4(C25C6(C7=C(N4)C=CC=C7)C(N(C3(C=C(C)C)[H])CC5)N(CC6)C(C=CC=CC)=O)[H])C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Communesin C""",C00026688,5,C1(=C(C(=C2C3=C1C(N4C5(C6(C7=C(N(C(N2[H])(C36C(C4([H])[H])([H])[H])[H])[H])C(=C(C(=C7[H])[H])[H])[H])C(C(N5C(=O)C(=C(C(=C(C([H])([H])[H])[H])[H])[H])[H])([H])[H])([H])[H])[H])(C8(OC8(C([H])([H])[H])C([H])([H])[H])[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Communesin E""",C00026690,5,C1(=C(C(=C2C3=C1C(N4C5(C6(C7=C(N(C(N2[H])(C36C(C4([H])[H])([H])[H])[H])[H])C(=C(C(=C7[H])[H])[H])[H])C(C(N5C(=O)C([H])([H])[H])([H])[H])([H])[H])[H])(C8(OC8(C([H])([H])[H])C([H])([H])[H])[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""4,5-Dihydrocanthin-6-one""",C00051798,5,C12=CC=CC=C1N3C4=C2C=CN=C4CCC3=O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Canthin-6-one""",C00001701,5,C12=C3C(=NC(=C1[H])[H])C(=C(C(N3C4=C2C(=C(C(=C4[H])[H])[H])[H])=O)[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Communesin A;(-)-Communesin A""",C00026691,5,C1(=C(C(=C2C3=C1C(N4C5(C6(C7=C(N(C(N2C([H])([H])[H])(C36C(C4([H])[H])([H])[H])[H])[H])C(=C(C(=C7[H])[H])[H])[H])C(C(N5C(=O)C([H])([H])[H])([H])[H])([H])[H])[H])(C8(OC8(C([H])([H])[H])C([H])([H])[H])[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Communesin B;(+)-Communesin B;Nomofungin""",C00026692,5,C1(=C(C(=C2C3=C1C(N4C5(C6(C7=C(N(C(N2C([H])([H])[H])(C36C(C4([H])[H])([H])[H])[H])[H])C(=C(C(=C7[H])[H])[H])[H])C(C(N5C(=O)C(=C(C(=C(C([H])([H])[H])[H])[H])[H])[H])([H])[H])([H])[H])[H])(C8(OC8(C([H])([H])[H])C([H])([H])[H])[H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""5-Methoxytryptamine""",C00051985,5,C12=C(C=C(C=C1)OC)C(=CN2)CCN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Melatonin;N-Acetyl-5-methoxytryptamine""",C00052006,5,C12=C(C=C(C=C1)OC)C(=CN2)CCNC(=O)C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""N-Methyl-3-aminomethylindole""",C00052008,5,C12=C(C=CC=C1)NC=C2CNC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Gramine""",C00001411,5,C=1(C(=C(C2=C(C1[H])C(=C(N2[H])[H])C(N(C([H])([H])[H])C([H])([H])[H])([H])[H])[H])[H])[H],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
